location,date,new_cases,total_cases
United States of America,May-2022,6,6
United States of America,May-2022,0,6
United States of America,May-2022,0,6
United States of America,May-2022,0,6
United States of America,May-2022,0,6
United States of America,May-2022,0,6
United States of America,May-2022,0,6
United States of America,May-2022,18,24
United States of America,May-2022,0,24
United States of America,May-2022,0,24
United States of America,May-2022,0,24
United States of America,May-2022,0,24
United States of America,May-2022,0,24
United States of America,May-2022,0,24
United States of America,May-2022,15,39
United States of America,Jun-2022,0,39
United States of America,Jun-2022,0,39
United States of America,Jun-2022,0,39
United States of America,Jun-2022,0,39
United States of America,Jun-2022,0,39
United States of America,Jun-2022,0,39
United States of America,Jun-2022,52,91
United States of America,Jun-2022,0,91
United States of America,Jun-2022,0,91
United States of America,Jun-2022,0,91
United States of America,Jun-2022,0,91
United States of America,Jun-2022,0,91
United States of America,Jun-2022,0,91
United States of America,Jun-2022,98,189
United States of America,Jun-2022,0,189
United States of America,Jun-2022,0,189
United States of America,Jun-2022,0,189
United States of America,Jun-2022,0,189
United States of America,Jun-2022,0,189
United States of America,Jun-2022,0,189
United States of America,Jun-2022,194,383
United States of America,Jun-2022,0,383
United States of America,Jun-2022,0,383
United States of America,Jun-2022,0,383
United States of America,Jun-2022,0,383
United States of America,Jun-2022,0,383
United States of America,Jun-2022,0,383
United States of America,Jun-2022,341,724
United States of America,Jun-2022,0,724
United States of America,Jun-2022,0,724
United States of America,Jul-2022,0,724
United States of America,Jul-2022,0,724
United States of America,Jul-2022,0,724
United States of America,Jul-2022,0,724
United States of America,Jul-2022,715,1439
United States of America,Jul-2022,0,1439
United States of America,Jul-2022,0,1439
United States of America,Jul-2022,0,1439
United States of America,Jul-2022,0,1439
United States of America,Jul-2022,0,1439
United States of America,Jul-2022,0,1439
United States of America,Jul-2022,1277,2716
United States of America,Jul-2022,0,2716
United States of America,Jul-2022,0,2716
United States of America,Jul-2022,0,2716
United States of America,Jul-2022,0,2716
United States of America,Jul-2022,0,2716
United States of America,Jul-2022,0,2716
United States of America,Jul-2022,2001,4717
United States of America,Jul-2022,0,4717
United States of America,Jul-2022,0,4717
United States of America,Jul-2022,0,4717
United States of America,Jul-2022,0,4717
United States of America,Jul-2022,0,4717
United States of America,Jul-2022,0,4717
United States of America,Jul-2022,2375,7092
United States of America,Jul-2022,0,7092
United States of America,Jul-2022,0,7092
United States of America,Jul-2022,0,7092
United States of America,Jul-2022,0,7092
United States of America,Jul-2022,0,7092
United States of America,Aug-2022,0,7092
United States of America,Aug-2022,2956,10048
United States of America,Aug-2022,0,10048
United States of America,Aug-2022,0,10048
United States of America,Aug-2022,0,10048
United States of America,Aug-2022,0,10048
United States of America,Aug-2022,0,10048
United States of America,Aug-2022,0,10048
United States of America,Aug-2022,3270,13318
United States of America,Aug-2022,0,13318
United States of America,Aug-2022,0,13318
United States of America,Aug-2022,0,13318
United States of America,Aug-2022,0,13318
United States of America,Aug-2022,0,13318
United States of America,Aug-2022,0,13318
United States of America,Aug-2022,2942,16260
United States of America,Aug-2022,0,16260
United States of America,Aug-2022,0,16260
United States of America,Aug-2022,0,16260
United States of America,Aug-2022,0,16260
United States of America,Aug-2022,0,16260
United States of America,Aug-2022,0,16260
United States of America,Aug-2022,2663,18923
United States of America,Aug-2022,0,18923
United States of America,Aug-2022,0,18923
United States of America,Aug-2022,0,18923
United States of America,Aug-2022,0,18923
United States of America,Aug-2022,0,18923
United States of America,Aug-2022,0,18923
United States of America,Aug-2022,2158,21081
United States of America,Aug-2022,0,21081
United States of America,Sep-2022,0,21081
United States of America,Sep-2022,0,21081
United States of America,Sep-2022,0,21081
United States of America,Sep-2022,0,21081
United States of America,Sep-2022,0,21081
United States of America,Sep-2022,1838,22919
United States of America,Sep-2022,0,22919
